year,eth_group,eth_label,firms,employees,revenue_thousands,payroll_thousands
2017,020,Hispanic,322076,2872550,422573589,90985526
2017,029,Non-Hispanic,5101996,59636222,12195076890,2511385764
2017,028,Equally Hispanic/Non-Hispanic,50649,481704,72286827,15819873
2017,unclassified,Unclassified,269922,64747798,23889638311,3916079921
2017,001,Total,5744643,127738274,36579575617,6534271084
2018,020,Hispanic,331625,2972140,455644682,101103299
2018,029,Non-Hispanic,5118211,60007007,13830500008,2689941006
2018,028,Equally Hispanic/Non-Hispanic,49285,486636,71334623,17395617
2018,unclassified,Unclassified,223021,64730623,24048060055,4128800386
2018,001,Total,5722142,128196406,38405539368,6937240308
2019,020,Hispanic,346836,2930548,463280122,108355725
2019,029,Non-Hispanic,5165352,60825945,14506097906,2832806270
2019,028,Equally Hispanic/Non-Hispanic,50920,483518,78244462,19479010
2019,unclassified,Unclassified,208184,64658215,25025631208,4266944559
2019,001,Total,5771292,128898226,40073253698,7227585564
2020,020,Hispanic,375256,2939740,472264280,105582859
2020,029,Non-Hispanic,5134751,60608707,14131265111,2847204992
2020,028,Equally Hispanic/Non-Hispanic,55912,480618,64796848,16626087
2020,unclassified,Unclassified,209339,65334579,24181929736,4378412485
2020,001,Total,5775258,129363644,38850255975,7347826423
2021,020,Hispanic,406086,2985954,572911936,124404221
2021,029,Non-Hispanic,5218393,58209458,16709746498,3216531930
2021,028,Equally Hispanic/Non-Hispanic,56639,476527,91212418,21399161
2021,unclassified,Unclassified,212307,62263399,26635026612,4642338899
2021,001,Total,5893425,123935338,44008897464,8004674211
2022,020,Hispanic,465202,3550203,653467996,143246171
2022,029,Non-Hispanic,5132864,63033754,17147430324,3361859405
2022,028,Equally Hispanic/Non-Hispanic,51328,468866,101473719,20610663
2022,unclassified,Unclassified,227393,69462028,32097128293,4904177283
2022,001,Total,5876787,136514851,49999500332,8429893522
2023,020,Hispanic,495822,3822895,730272981,160242865
2023,029,Non-Hispanic,5150216,61774720,17720738117,3461075995
2023,028,Equally Hispanic/Non-Hispanic,57030,507320,102090748,23205244
2023,unclassified,Unclassified,231882,66744609,29670735309,5238606443
2023,001,Total,5934950,132849544,48223837155,8883130547
