period,eth_group,eth_label,employees_start,employees_end,net_new_employees,share_of_total_net_new_employees,employee_growth_pct,firms_start,firms_end,net_new_firms,firm_growth_pct
2017-2023,020,Hispanic,2872550,3822895,950345,18.6,33.1,322076,495822,173746,53.9
2017-2023,029,Non-Hispanic,59636222,61774720,2138498,41.8,3.6,5101996,5150216,48220,0.9
2017-2023,028,Equally Hispanic/Non-Hispanic,481704,507320,25616,0.5,5.3,50649,57030,6381,12.6
2017-2023,unclassified,Unclassified,64747798,66744609,1996811,39.1,3.1,269922,231882,-38040,-14.1
2017-2023,001,Total,127738274,132849544,5111270,100.0,4.0,5744643,5934950,190307,3.3
2018-2023,020,Hispanic,2972140,3822895,850755,18.3,28.6,331625,495822,164197,49.5
2018-2023,029,Non-Hispanic,60007007,61774720,1767713,38.0,2.9,5118211,5150216,32005,0.6
2018-2023,028,Equally Hispanic/Non-Hispanic,486636,507320,20684,0.4,4.3,49285,57030,7745,15.7
2018-2023,unclassified,Unclassified,64730623,66744609,2013986,43.3,3.1,223021,231882,8861,4.0
2018-2023,001,Total,128196406,132849544,4653138,100.0,3.6,5722142,5934950,212808,3.7
