year,group,popgroup_code,median_household_income
2008,Hispanic or Latino (any race),400,41470
2008,Mexican,401,40647
2008,Puerto Rican,402,39039
2008,Cuban,403,42724
2008,Dominican,405,34604
2008,Costa Rican,407,48307
2008,Guatemalan,408,41225
2008,Honduran,409,36922
2008,Nicaraguan,410,48945
2008,Panamanian,411,47827
2008,Salvadoran,412,43490
2008,Argentinean,414,54163
2008,Chilean,416,60463
2008,Colombian,417,49384
2008,Ecuadorian,418,50665
2008,Peruvian,420,50901
2008,Venezuelan,422,53673
2008,Spaniard,423,54526
2008,Brazilian,519,50900
2009,Hispanic or Latino (any race),400,39923
2009,Mexican,401,39115
2009,Puerto Rican,402,37052
2009,Cuban,403,41547
2009,Dominican,405,34194
2009,Costa Rican,407,51331
2009,Guatemalan,408,38302
2009,Honduran,409,35021
2009,Nicaraguan,410,47346
2009,Panamanian,411,47544
2009,Salvadoran,412,42141
2009,Argentinean,414,56191
2009,Chilean,416,57879
2009,Colombian,417,50048
2009,Ecuadorian,418,50592
2009,Peruvian,420,48064
2009,Venezuelan,422,50584
2009,Spaniard,423,52761
2009,Brazilian,519,47957
2011,Hispanic or Latino (any race),400,39589
2011,Mexican,401,38884
2011,Puerto Rican,402,36460
2011,Cuban,403,38808
2011,Dominican,405,32815
2011,Costa Rican,407,54045
2011,Guatemalan,408,37484
2011,Honduran,409,31777
2011,Nicaraguan,410,47625
2011,Panamanian,411,46868
2011,Salvadoran,412,41248
2011,Argentinean,414,56583
2011,Chilean,416,51084
2011,Colombian,417,48169
2011,Ecuadorian,418,49938
2011,Peruvian,420,50638
2011,Venezuelan,422,52162
2011,Spaniard,423,53649
2011,Brazilian,519,47147
2012,Hispanic or Latino (any race),400,40417
2012,Mexican,401,39962
2012,Puerto Rican,402,36543
2012,Cuban,403,40582
2012,Dominican,405,32754
2012,Costa Rican,407,47841
2012,Guatemalan,408,38496
2012,Honduran,409,35076
2012,Nicaraguan,410,45072
2012,Panamanian,411,54589
2012,Salvadoran,412,43399
2012,Argentinean,414,56592
2012,Chilean,416,52104
2012,Colombian,417,48812
2012,Ecuadorian,418,50059
2012,Peruvian,420,50969
2012,Venezuelan,422,57194
2012,Spaniard,423,55924
2012,Brazilian,519,53560
2013,Hispanic or Latino (any race),400,41508
2013,Mexican,401,40848
2013,Puerto Rican,402,39660
2013,Cuban,403,41439
2013,Dominican,405,34790
2013,Costa Rican,407,55186
2013,Guatemalan,408,37840
2013,Honduran,409,36386
