code,label,median_household_income,bachelors_pct
001,Total population,81604.0,36.8
400,Hispanic or Latino (of any race),72574.0,21.5
4015,Mexican,74008.0,17.0
4038,Puerto Rican,64509.0,24.0
4036,Cuban,71085.0,32.6
4037,Dominican,61221.0,23.5
4017,Costa Rican,82059.0,34.3
4018,Guatemalan,65369.0,12.6
4019,Honduran,58749.0,13.6
4020,Nicaraguan,72423.0,23.5
4021,Panamanian,82020.0,39.4
4022,Salvadoran,76821.0,14.4
4025,Argentinean,101811.0,47.7
4027,Chilean,87061.0,46.4
4028,Colombian,79371.0,39.9
4029,Ecuadorian,82828.0,27.3
4031,Peruvian,82146.0,35.2
4033,Venezuelan,74510.0,48.0
4041,Spaniard,87034.0,41.1
519,Brazilian,83089.0,43.9
