country,iso3,year,births
Argentina,ARG,1950,443092
Argentina,ARG,1951,450310
Argentina,ARG,1952,456457
Argentina,ARG,1953,461876
Argentina,ARG,1954,465811
Argentina,ARG,1955,470534
Argentina,ARG,1956,476402
Argentina,ARG,1957,479273
Argentina,ARG,1958,477922
Argentina,ARG,1959,488560
Argentina,ARG,1960,492363
Argentina,ARG,1961,494461
Argentina,ARG,1962,500531
Argentina,ARG,1963,503504
Argentina,ARG,1964,504485
Argentina,ARG,1965,500004
Argentina,ARG,1966,501007
Argentina,ARG,1967,511715
Argentina,ARG,1968,525320
Argentina,ARG,1969,541333
Argentina,ARG,1970,557684
Argentina,ARG,1971,571733
Argentina,ARG,1972,587110
Argentina,ARG,1973,604141
Argentina,ARG,1974,623622
Argentina,ARG,1975,644972
Argentina,ARG,1976,663228
Argentina,ARG,1977,680351
Argentina,ARG,1978,688694
Argentina,ARG,1979,692524
Argentina,ARG,1980,692446
Argentina,ARG,1981,690240
Argentina,ARG,1982,687567
Argentina,ARG,1983,683884
Argentina,ARG,1984,686243
Argentina,ARG,1985,683974
Argentina,ARG,1986,690120
Argentina,ARG,1987,694917
Argentina,ARG,1988,706153
Argentina,ARG,1989,710333
Argentina,ARG,1990,723193
Argentina,ARG,1991,728216
Argentina,ARG,1992,732042
Argentina,ARG,1993,737559
Argentina,ARG,1994,741217
Argentina,ARG,1995,734845
Argentina,ARG,1996,725246
Argentina,ARG,1997,717421
Argentina,ARG,1998,716801
Argentina,ARG,1999,722777
Argentina,ARG,2000,719276
Argentina,ARG,2001,712599
Argentina,ARG,2002,711232
Argentina,ARG,2003,707388
Argentina,ARG,2004,710123
Argentina,ARG,2005,717902
Argentina,ARG,2006,719581
Argentina,ARG,2007,718989
Argentina,ARG,2008,746330
Argentina,ARG,2009,744841
Argentina,ARG,2010,756144
Argentina,ARG,2011,758343
Argentina,ARG,2012,736973
Argentina,ARG,2013,752967
Argentina,ARG,2014,775263
Argentina,ARG,2015,768023
Argentina,ARG,2016,737028
Argentina,ARG,2017,715490
Argentina,ARG,2018,684660
Argentina,ARG,2019,625199
Argentina,ARG,2020,533228
Argentina,ARG,2021,529339
Argentina,ARG,2022,496115
Argentina,ARG,2023,503823
Argentina,ARG,2024,506609
Bolivia,BOL,1950,133003
Bolivia,BOL,1951,135052
Bolivia,BOL,1952,137098
Bolivia,BOL,1953,139879
Bolivia,BOL,1954,142665
Bolivia,BOL,1955,145964
Bolivia,BOL,1956,148900
Bolivia,BOL,1957,152345
Bolivia,BOL,1958,155665
Bolivia,BOL,1959,159122
Bolivia,BOL,1960,162555
Bolivia,BOL,1961,165793
Bolivia,BOL,1962,169175
Bolivia,BOL,1963,172614
Bolivia,BOL,1964,175835
Bolivia,BOL,1965,179011
Bolivia,BOL,1966,182493
Bolivia,BOL,1967,186307
Bolivia,BOL,1968,189929
Bolivia,BOL,1969,193057
Bolivia,BOL,1970,195854
Bolivia,BOL,1971,199000
Bolivia,BOL,1972,201383
Bolivia,BOL,1973,204985
Bolivia,BOL,1974,208263
Bolivia,BOL,1975,211193
Bolivia,BOL,1976,216572
Bolivia,BOL,1977,219948
Bolivia,BOL,1978,223022
Bolivia,BOL,1979,225676
Bolivia,BOL,1980,228742
Bolivia,BOL,1981,231537
Bolivia,BOL,1982,233737
Bolivia,BOL,1983,236263
Bolivia,BOL,1984,239306
Bolivia,BOL,1985,241067
Bolivia,BOL,1986,244777
Bolivia,BOL,1987,248353
Bolivia,BOL,1988,252124
Bolivia,BOL,1989,254681
Bolivia,BOL,1990,257156
Bolivia,BOL,1991,259835
Bolivia,BOL,1992,258735
Bolivia,BOL,1993,258322
Bolivia,BOL,1994,258096
Bolivia,BOL,1995,257959
Bolivia,BOL,1996,258839
Bolivia,BOL,1997,256870
Bolivia,BOL,1998,257433
Bolivia,BOL,1999,258636
Bolivia,BOL,2000,256865
Bolivia,BOL,2001,254876
Bolivia,BOL,2002,253925
Bolivia,BOL,2003,254642
Bolivia,BOL,2004,254854
Bolivia,BOL,2005,255846
Bolivia,BOL,2006,260345
Bolivia,BOL,2007,260302
Bolivia,BOL,2008,260466
Bolivia,BOL,2009,260589
Bolivia,BOL,2010,260864
Bolivia,BOL,2011,261007
Bolivia,BOL,2012,261112
Bolivia,BOL,2013,261055
Bolivia,BOL,2014,260816
Bolivia,BOL,2015,260533
Bolivia,BOL,2016,260185
Bolivia,BOL,2017,259921
Bolivia,BOL,2018,259789
Bolivia,BOL,2019,259767
Bolivia,BOL,2020,259912
Bolivia,BOL,2021,260326
Bolivia,BOL,2022,260457
Bolivia,BOL,2023,260151
Bolivia,BOL,2024,261003
Brazil,BRA,1950,2476917
Brazil,BRA,1951,2551063
Brazil,BRA,1952,2622122
Brazil,BRA,1953,2693194
Brazil,BRA,1954,2764262
Brazil,BRA,1955,2835923
Brazil,BRA,1956,2907347
Brazil,BRA,1957,2978676
Brazil,BRA,1958,3048945
Brazil,BRA,1959,3116445
Brazil,BRA,1960,3174191
Brazil,BRA,1961,3229848
Brazil,BRA,1962,3282008
Brazil,BRA,1963,3326023
Brazil,BRA,1964,3341148
Brazil,BRA,1965,3339611
Brazil,BRA,1966,3328213
Brazil,BRA,1967,3308677
Brazil,BRA,1968,3297984
Brazil,BRA,1969,3320326
Brazil,BRA,1970,3360206
Brazil,BRA,1971,3408619
Brazil,BRA,1972,3459178
Brazil,BRA,1973,3511293
Brazil,BRA,1974,3539644
Brazil,BRA,1975,3603503
Brazil,BRA,1976,3672318
Brazil,BRA,1977,3744409
Brazil,BRA,1978,3812431
Brazil,BRA,1979,3875118
Brazil,BRA,1980,3929237
Brazil,BRA,1981,3972186
Brazil,BRA,1982,3993366
Brazil,BRA,1983,3997588
Brazil,BRA,1984,3975419
Brazil,BRA,1985,3954827
Brazil,BRA,1986,3920909
Brazil,BRA,1987,3863816
Brazil,BRA,1988,3805480
Brazil,BRA,1989,3756979
Brazil,BRA,1990,3693601
Brazil,BRA,1991,3649867
Brazil,BRA,1992,3594913
Brazil,BRA,1993,3598469
Brazil,BRA,1994,3587423
Brazil,BRA,1995,3603870
Brazil,BRA,1996,3591408
Brazil,BRA,1997,3597299
Brazil,BRA,1998,3589766
Brazil,BRA,1999,3532491
Brazil,BRA,2000,3459239
Brazil,BRA,2001,3382286
Brazil,BRA,2002,3300495
Brazil,BRA,2003,3218588
Brazil,BRA,2004,3196886
Brazil,BRA,2005,3172258
Brazil,BRA,2006,3115423
Brazil,BRA,2007,3062690
Brazil,BRA,2008,3008005
Brazil,BRA,2009,2989532
Brazil,BRA,2010,2970979
Brazil,BRA,2011,2956872
Brazil,BRA,2012,2940339
Brazil,BRA,2013,2934515
Brazil,BRA,2014,2957978
Brazil,BRA,2015,2961442
Brazil,BRA,2016,2874734
Brazil,BRA,2017,2891049
Brazil,BRA,2018,2889976
Brazil,BRA,2019,2810666
Brazil,BRA,2020,2711546
Brazil,BRA,2021,2672684
Brazil,BRA,2022,2640391
Brazil,BRA,2023,2601670
Brazil,BRA,2024,2572100
Chile,CHL,1950,248632
Chile,CHL,1951,252117
Chile,CHL,1952,255854
Chile,CHL,1953,260706
Chile,CHL,1954,264944
Chile,CHL,1955,270148
Chile,CHL,1956,275792
Chile,CHL,1957,279122
Chile,CHL,1958,282223
Chile,CHL,1959,285282
Chile,CHL,1960,287886
Chile,CHL,1961,289637
Chile,CHL,1962,291317
Chile,CHL,1963,292219
Chile,CHL,1964,292296
Chile,CHL,1965,291711
Chile,CHL,1966,290635
Chile,CHL,1967,289112
Chile,CHL,1968,287197
Chile,CHL,1969,285125
Chile,CHL,1970,283255
Chile,CHL,1971,281040
Chile,CHL,1972,279156
Chile,CHL,1973,276932
Chile,CHL,1974,274131
Chile,CHL,1975,271934
Chile,CHL,1976,270229
Chile,CHL,1977,269120
Chile,CHL,1978,268220
Chile,CHL,1979,267055
Chile,CHL,1980,267387
Chile,CHL,1981,268040
Chile,CHL,1982,269251
Chile,CHL,1983,271651
Chile,CHL,1984,275075
Chile,CHL,1985,278878
Chile,CHL,1986,283421
Chile,CHL,1987,287854
Chile,CHL,1988,291901
Chile,CHL,1989,295348
Chile,CHL,1990,297445
Chile,CHL,1991,297949
Chile,CHL,1992,291098
Chile,CHL,1993,287876
Chile,CHL,1994,283791
Chile,CHL,1995,282898
Chile,CHL,1996,276311
Chile,CHL,1997,267915
Chile,CHL,1998,262804
Chile,CHL,1999,255147
Chile,CHL,2000,253044
Chile,CHL,2001,249600
Chile,CHL,2002,241810
Chile,CHL,2003,236992
Chile,CHL,2004,233333
Chile,CHL,2005,232635
Chile,CHL,2006,231044
Chile,CHL,2007,236641
Chile,CHL,2008,241683
Chile,CHL,2009,244308
Chile,CHL,2010,244494
Chile,CHL,2011,243213
Chile,CHL,2012,241335
Chile,CHL,2013,240927
Chile,CHL,2014,240683
Chile,CHL,2015,237273
Chile,CHL,2016,231728
Chile,CHL,2017,218305
Chile,CHL,2018,221012
Chile,CHL,2019,210016
Chile,CHL,2020,195578
Chile,CHL,2021,176463
Chile,CHL,2022,189124
Chile,CHL,2023,176196
Chile,CHL,2024,172406
Colombia,COL,1950,546443
Colombia,COL,1951,561452
Colombia,COL,1952,579014
Colombia,COL,1953,596461
Colombia,COL,1954,613393
Colombia,COL,1955,630672
Colombia,COL,1956,648098
Colombia,COL,1957,665725
Colombia,COL,1958,683320
Colombia,COL,1959,699430
Colombia,COL,1960,716027
Colombia,COL,1961,731639
Colombia,COL,1962,745610
Colombia,COL,1963,757059
Colombia,COL,1964,765580
Colombia,COL,1965,770927
Colombia,COL,1966,772959
Colombia,COL,1967,772510
Colombia,COL,1968,768842
Colombia,COL,1969,763910
Colombia,COL,1970,758900
Colombia,COL,1971,754674
Colombia,COL,1972,751555
Colombia,COL,1973,752258
Colombia,COL,1974,755973
Colombia,COL,1975,764076
Colombia,COL,1976,775696
Colombia,COL,1977,784696
Colombia,COL,1978,786622
Colombia,COL,1979,797083
Colombia,COL,1980,810658
Colombia,COL,1981,822984
Colombia,COL,1982,834567
Colombia,COL,1983,836055
Colombia,COL,1984,829996
Colombia,COL,1985,827117
Colombia,COL,1986,832411
Colombia,COL,1987,838889
Colombia,COL,1988,847096
Colombia,COL,1989,859456
Colombia,COL,1990,872601
Colombia,COL,1991,885561
Colombia,COL,1992,898960
Colombia,COL,1993,912234
Colombia,COL,1994,912584
Colombia,COL,1995,898932
Colombia,COL,1996,886239
Colombia,COL,1997,889567
Colombia,COL,1998,893004
Colombia,COL,1999,880066
Colombia,COL,2000,870048
Colombia,COL,2001,862583
Colombia,COL,2002,861020
Colombia,COL,2003,856735
Colombia,COL,2004,842400
Colombia,COL,2005,824839
Colombia,COL,2006,809616
Colombia,COL,2007,802116
Colombia,COL,2008,796007
Colombia,COL,2009,781638
Colombia,COL,2010,758100
Colombia,COL,2011,738679
Colombia,COL,2012,730825
Colombia,COL,2013,721365
Colombia,COL,2014,710473
Colombia,COL,2015,693457
Colombia,COL,2016,677004
Colombia,COL,2017,682368
Colombia,COL,2018,695926
Colombia,COL,2019,709573
Colombia,COL,2020,714207
Colombia,COL,2021,713944
Colombia,COL,2022,710397
Colombia,COL,2023,705009
Colombia,COL,2024,700784
Costa Rica,CRI,1950,41602
Costa Rica,CRI,1951,43418
Costa Rica,CRI,1952,45209
Costa Rica,CRI,1953,46998
Costa Rica,CRI,1954,48718
Costa Rica,CRI,1955,50495
Costa Rica,CRI,1956,52337
Costa Rica,CRI,1957,54506
Costa Rica,CRI,1958,56669
Costa Rica,CRI,1959,58642
Costa Rica,CRI,1960,60357
Costa Rica,CRI,1961,61742
Costa Rica,CRI,1962,62732
Costa Rica,CRI,1963,63302
Costa Rica,CRI,1964,63473
Costa Rica,CRI,1965,63287
Costa Rica,CRI,1966,62794
Costa Rica,CRI,1967,62100
Costa Rica,CRI,1968,60229
Costa Rica,CRI,1969,60432
Costa Rica,CRI,1970,59934
Costa Rica,CRI,1971,59646
Costa Rica,CRI,1972,59513
Costa Rica,CRI,1973,59784
Costa Rica,CRI,1974,60970
Costa Rica,CRI,1975,62334
Costa Rica,CRI,1976,64204
Costa Rica,CRI,1977,66235
Costa Rica,CRI,1978,68408
Costa Rica,CRI,1979,71047
Costa Rica,CRI,1980,72588
Costa Rica,CRI,1981,74720
Costa Rica,CRI,1982,76968
Costa Rica,CRI,1983,79196
Costa Rica,CRI,1984,81415
Costa Rica,CRI,1985,83400
Costa Rica,CRI,1986,84083
Costa Rica,CRI,1987,84209
Costa Rica,CRI,1988,84077
Costa Rica,CRI,1989,83594
Costa Rica,CRI,1990,83202
Costa Rica,CRI,1991,82301
Costa Rica,CRI,1992,81968
Costa Rica,CRI,1993,81741
Costa Rica,CRI,1994,81578
Costa Rica,CRI,1995,81227
Costa Rica,CRI,1996,80302
Costa Rica,CRI,1997,79517
