country,iso3,first_decline_year,prior_year_births,decline_year_births,pct_change
Cuba,CUB,1966,276269,273659,-0.9
Uruguay,URY,1977,61829,60056,-2.9
Brazil,BRA,1984,3997588,3975419,-0.6
Costa Rica,CRI,1988,84209,84077,-0.2
El Salvador,SLV,1990,182182,182148,-0.0
Peru,PER,1991,685187,683763,-0.2
Chile,CHL,1992,297949,291098,-2.3
Nicaragua,NIC,1992,152690,151914,-0.5
Dominican Republic,DOM,1994,221375,220860,-0.2
Mexico,MEX,1994,2478574,2476391,-0.1
Colombia,COL,1995,912584,898932,-1.5
Paraguay,PRY,1996,142105,142063,-0.0
Venezuela,VEN,2007,601788,594792,-1.2
Haiti,HTI,2010,271900,271749,-0.1
Ecuador,ECU,2012,333805,326145,-2.3
Bolivia,BOL,2013,261112,261055,-0.0
Argentina,ARG,2015,775263,768023,-0.9
Panama,PAN,2016,78563,78547,-0.0
Guatemala,GTM,2017,422285,417021,-1.2
