origin_group,estimated_gdp_billions,pct_of_latino_gdp,workers,gdp_per_worker
Mexican,2290.0,56.4,18644876,122821
Puerto Rican,352.0,8.67,2742450,128341
Cuban,194.2,4.78,1547320,125482
Salvadoran,166.3,4.1,1438749,115589
Dominican,144.4,3.56,1185838,121755
Colombian,125.6,3.09,977609,128431
Guatemalan,124.0,3.05,1090253,113718
Venezuelan,85.1,2.1,667080,127627
Honduran,75.5,1.86,687688,109805
Ecuadorian,65.1,1.6,545645,119354
Spanish,63.2,1.56,469135,134726
Peruvian,58.9,1.45,456736,128908
Nicaraguan,40.9,1.01,331121,123385
Brazilian,40.1,0.99,327240,122480
Argentinean,25.6,0.63,191802,133530
Panamanian,18.0,0.44,126105,142530
Chilean,14.7,0.36,116917,125893
Costa Rican,13.4,0.33,111971,119386
